ModulNr.1,tag,VNT_37,VNT_44,VNT_46,POL-METH,Phil-MA 2,Phil-MA WP-1,Phil-PM-WT 3,BWL-MA-02-04 / MA-WW-BWL-0205 / D-WW-WIWI-0205,BWL-MA-03-04,BWL-MA-04-04,FOMH 6,FOMH 9,FOMH 10,FOMH 12,MSc GIT 04,MSc GIT 09,MSc GIT 12,MSc G 04,MSc G 09,MSc G 11
Klima / Luft,Bestandsklima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,CO2-Absorption,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Klima / Luft,C-Sequestrierung,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Klima / Luft,globale Beobachtungssysteme für Wetter und Klima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Kaltluft / Kaltluftproblematik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Klima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Klimaforschung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Klimasystemkomponenten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Klimatische Betrachtung verschiedener Oberflächen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Klimatische Schwankungen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,klimatische Wechselwirkungen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Klimawandel / Klimaänderung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Kohlenstoffakkumulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Landschaftsklima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Luft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Luftfeuchte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Luftverunreinigung / Luftverschmutzung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Makroklima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Mitigation / Klimaanpassung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,ökonomische Auswirkungen Klimawandel / Klimafolgen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Stadtklima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Strahlung / Strahlungshaushalt / Strahlungsbilanz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Temperatur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Treibhauseffekt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Amphibien / Amphibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Gliederfüßer / Arthropoden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Bakterien / Bacteria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Fische / Pisces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Gefäßpflanzen / Tracheophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Insekten / Insecta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Mikroorganismen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Moose / Bryophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Parasiten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Urwesen / Protisten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Pilze / Fungi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Pflanzen / Embryophyta,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Reptilien / Reptilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Säugetiere / Mammalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Viren,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Vögel / Aves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Weichtiere / Mollusca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebewesen,Wirbellose / Invertebrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lehrform,Exkursion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lehrform,Geländepraktikum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lehrform,Sommerschule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lehrform,Lehrpraktikum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Arbeitsmanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Artenschutzmanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,betriebliches Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Biodiversitätsmanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Citymanagement / Stadtmanagement / Regionalmanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Energiemanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Flächennutzungsmanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Flussgebietsmanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Gebietsmanagement / Biotopmanagement / Schutzgebietsmanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Gesundheitsschutzmanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Hochwasserrisikomanagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,Innovationsmanagement,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
